Image_ID,Window,Door, shops shutter, Bench and Food stands,Brick wall with fence,Steps,Bulletin board,Bike,Motor Bike,Metal Fence,Flower,Flower box,Symbol and Sign,Grass,Plant cover,Path and sidewalk,Person in group,Person standing,Person sitting,Trees with oval shape,Wall,Water,Trees with columnar shape,Buildings wall,Buildings with column,Autos,Sky,Palm trees,Dome,Sunshade,Class_34
NagJaSWalk,0,22836,1084,149,12596,0,227,0,0,190,0,0,62,6323,50779,209364,0,75170,379,0,0,0,0,0,0,0,87908,0,0,0,0
NagJaSWalk,0,9308,0,4948,17815,0,416,0,88,17,0,0,0,3,30701,257952,1422,39092,0,0,0,0,69216,0,0,0,134271,0,0,0,0
NagJaSWalk,0,24762,0,16,13639,0,1057,0,0,97,0,0,0,0,25299,212187,405,95595,1870,0,0,0,112715,0,0,93,68646,0,0,0,0
NagJaSWalk,0,3421,6,0,44847,0,0,0,0,173,0,0,0,26313,24972,267727,0,43374,0,0,0,0,0,0,204,0,96097,0,0,0,0
NagJaSWalk,0,38431,751,0,5580,0,7,0,0,12,0,0,0,0,6136,248927,100,131642,0,0,0,54,225315,0,0,0,60616,0,0,0,0
NagJaSWalk,0,0,0,0,0,0,0,0,0,0,0,0,1002,22088,53146,284109,0,37371,0,0,39,2,2333,0,0,0,147900,0,0,0,0
NagJaSWalk,0,0,0,0,0,0,0,0,0,0,0,0,38257,0,156,19322,44291,0,0,0,0,0,0,0,0,0,8608,0,0,0,0
NagJaSWalk,0,2,139,4,14656,0,50,0,0,506,0,0,0,0,18958,134,37685,86528,2303,0,13,0,1591,0,0,0,150741,0,0,0,0
NagJaSWalk,0,12609,191,182,186393,0,0,0,0,0,0,0,0,0,0,278199,0,10067,0,0,0,8,1840,0,166,0,63564,0,0,0,0
NagJaSWalk,0,281,2482,213,106,0,74,0,0,0,0,0,625,5812,13902,213404,0,36875,474,0,0,0,0,0,0,0,39935,0,0,0,0
NagJaSWalk,0,165757,129,0,31162,0,0,0,0,471,0,0,752,28967,25793,9794,0,3061,421,0,0,0,0,0,0,0,5615,0,0,32130,0
NagJaSWalk,0,100,0,0,220551,0,0,0,0,384,0,0,0,0,0,3417,0,0,0,0,0,0,0,0,0,0,27103,0,0,0,0
OstanSt,0,8643,542,883,0,0,581,0,159246,0,0,0,0,0,0,52935,258,33462,60773,0,0,0,108729,0,0,7831,50922,0,0,0,0
OstanSt,0,336,0,0,6185,0,0,0,0,62818,0,0,0,0,38077,259071,0,0,0,0,0,0,79421,0,0,0,57416,88,0,0,0
OstanSt,0,0,0,0,4617,0,673,0,7,60449,0,0,0,121,21434,228157,16507,981,0,0,13,0,86382,0,0,2454,102746,74,0,0,0
OstanSt,885,0,0,0,7927,0,0,0,116342,43279,0,0,6528,0,0,155618,11,6079,0,0,0,0,89025,0,0,1527,133839,0,0,0,0
OstanSt,0,0,0,0,4404,0,2742,0,0,41983,0,0,0,2,55239,212951,0,10631,0,0,0,54,163098,0,0,0,54,89,0,0,0
OstanSt,0,0,0,0,1597,0,0,0,509,46580,0,0,10693,0,51489,231492,0,2538,0,0,0,7,90531,0,0,6228,97182,0,0,0,0
OstanSt,0,1713,0,0,8613,0,0,0,66,27799,0,0,0,0,46719,247905,0,7943,0,0,0,0,202414,0,0,859,62943,0,0,0,0
OstanSt,0,535,0,5531,3995,0,258,0,3,44212,0,0,5686,0,68239,242270,0,1109,0,0,0,130,155596,0,0,6203,0,0,0,0,0
OstanSt,0,124,158,0,55,0,0,294,181910,4761,0,0,0,0,0,49491,72,15101,17771,0,0,0,22946,0,0,8672,7932,0,0,0,0
OstanSt,0,0,0,100,3368,0,0,0,67555,31115,0,0,0,35,30136,207014,25,18536,0,0,0,76,140600,0,0,16365,12200,0,0,0,0
OstanSt,0,4423,0,0,33669,0,0,0,0,6697,0,0,0,0,39680,238263,0,2802,0,0,18,52,160290,0,0,0,27909,0,0,0,0
OstanSt,0,156,0,761,7026,0,0,1993,6165,42982,0,0,99,0,61910,213725,0,363,0,0,0,0,306255,0,0,3350,25147,0,0,0,0
OstanSt,0,27,0,0,13928,0,0,0,106570,48585,0,0,3004,0,11,148333,0,2921,0,0,0,0,83540,0,0,2886,116101,0,0,0,0
OstanSt,0,0,0,6705,3939,0,160,0,329,1621,0,0,0,0,42037,239134,0,8952,0,0,0,0,85910,0,0,1711,40564,815,0,0,0
OstanSt,0,0,0,0,6915,0,0,0,0,25041,0,0,1620,0,30637,230641,12857,16665,0,0,0,0,84035,0,0,4,62493,18362,0,0,0
OstanSt,0,219,460,0,11547,0,32,0,0,39349,0,0,42,0,35678,209150,0,6580,0,0,0,0,115198,0,0,0,90291,0,0,0,0
OstanSt,4,0,0,0,5166,0,0,0,6527,37753,0,0,6411,26,53602,245155,0,70,0,0,0,0,95217,0,0,7365,66329,9,0,0,0
SepahL,0,1373,0,0,483,0,67,0,0,0,0,0,4559,1614,22491,203758,652,41834,0,0,0,0,81708,0,7244,0,0,0,0,0,0
SepahL,0,7581,59744,19614,7567,0,522,0,0,0,0,0,0,0,7710,158922,18756,17076,0,0,51,9073,161588,0,0,0,12396,0,0,0,0
SepahL,0,9799,9206,2869,2677,0,7587,785,4257,0,0,0,0,658,22098,90982,0,66597,0,0,0,0,119715,0,0,0,0,0,0,0,0
SepahL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,50091,0,0,0,0,43,0,0,0,0,0,0,146,0
SepahL,0,0,0,0,0,0,102934,0,0,0,0,0,276,1123,10513,16992,0,1342,4301,0,0,5,1148,0,0,0,5109,0,0,0,0
SepahL,0,66,0,0,0,0,970,0,20328,224,0,0,0,1142,29003,318014,4,62798,8825,0,8,0,98572,0,0,52,74061,0,0,0,0
SepahL,0,41508,4,0,89,0,37123,402,63203,5,0,0,46,0,4917,108409,395,105010,0,0,0,0,97499,0,0,0,4398,0,0,0,0
SepahL,0,51372,4509,13,10200,0,732,18,9385,205,0,0,0,3927,29477,103939,2528,22126,0,0,0,0,13599,0,331,0,161,3,0,0,0
